6 0  20 1594 2686 3778 4870 5986 7106 8166 8850 9494 10134 10778 11430 12078 12734 13382 14030 14698 15290 15446 15502 
6 1  18 1614 2774 3946 5110 6290 7486 8426 9122 9806 10502 11194 11890 12590 13286 13982 14686 15246 15378 
6 2  18 1642 2818 3994 5170 6358 7562 8482 9178 9866 10566 11262 11962 12666 13366 14062 14762 15286 15414 
6 3  18 1650 2810 3974 5138 6310 7498 8478 9174 9854 10542 11230 11922 12618 13310 14002 14698 15378 15638 
6 4  18 1634 2818 4006 5194 6390 7598 8510 9210 9898 10598 11298 12002 12710 13410 14118 14814 15262 15370 
6 5  18 1610 2738 3878 5014 6158 7310 8318 9002 9662 10322 10986 11662 12330 12998 13670 14346 15050 15378 
6 6  18 1690 2902 4114 5322 6542 7770 8658 9370 10078 10790 11510 12230 12950 13674 14398 15102 15446 15538 
6 7  18 1642 2842 4038 5234 6442 7654 8578 9274 9962 10662 11362 12066 12770 13470 14178 14878 15418 15534 
6 8  17 1662 2886 4106 5330 6562 7786 8626 9338 10050 10762 11486 12206 12922 13646 14366 15042 15294 
6 9  20 1558 2650 3738 4826 5930 7034 8098 8790 9430 10070 10710 11354 11998 12650 13294 13942 14630 15246 15414 15486 
6 10  20 1482 2498 3518 4538 5566 6598 7634 8446 9046 9642 10238 10834 11434 12030 12634 13230 13842 14506 15146 15330 
6 11  18 1622 2770 3926 5078 6238 7402 8382 9066 9726 10398 11070 11742 12414 13086 13754 14426 15030 15242 
6 12  20 1550 2638 3722 4806 5906 7002 8066 8754 9386 10014 10646 11274 11906 12542 13170 13802 14442 15090 15314 15386 
6 13  18 1590 2722 3866 5002 6146 7294 8294 8970 9630 10282 10942 11610 12266 12922 13586 14242 14886 15178 
6 14  20 1582 2670 3754 4838 5934 7030 8098 8786 9414 10034 10658 11278 11902 12526 13150 13770 14402 15050 15290 15362 
6 15  18 1578 2722 3874 5022 6174 7330 8314 8990 9650 10310 10970 11638 12294 12954 13618 14278 14918 15178 
6 16  18 1730 2922 4114 5302 6514 7730 8638 9338 10034 10734 11434 12138 12838 13546 14250 14950 15422 15526 
6 17  18 1674 2810 3954 5090 6246 7410 8402 9090 9754 10422 11094 11770 12438 13114 13786 14466 15134 15370 
6 18  18 1762 2946 4126 5306 6506 7710 8642 9338 10026 10714 11410 12102 12798 13490 14186 14890 15434 15550 
6 19  17 1866 3114 4366 5606 6870 8122 8930 9662 10386 11118 11846 12582 13314 14046 14778 15362 15510 
6 20  18 1722 2874 4022 5170 6334 7506 8490 9174 9842 10518 11194 11866 12550 13226 13906 14602 15270 15498 
6 21  18 1754 2918 4078 5238 6414 7590 8578 9266 9938 10618 11294 11974 12662 13342 14022 14714 15354 15578 
6 22  19 1694 2838 3982 5126 6282 7446 8454 9134 9794 10462 11130 11798 12470 13142 13814 14490 15158 15450 15570 
6 23  18 1742 2902 4062 5222 6394 7570 8534 9218 9886 10566 11242 11914 12602 13278 13958 14646 15226 15382 
6 24  18 1766 2958 4146 5338 6538 7742 8662 9354 10038 10722 11410 12102 12790 13478 14170 14858 15358 15478 
6 25  19 1710 2854 3994 5130 6282 7438 8438 9122 9782 10446 11110 11774 12438 13102 13766 14438 15102 15410 15534 
6 26  20 1670 2774 3882 4986 6098 7214 8290 8986 9630 10270 10906 11554 12194 12838 13486 14134 14814 15534 15794 15870 
6 27  18 1798 3038 4278 5518 6762 8010 8842 9566 10278 10990 11710 12422 13134 13846 14562 15262 15570 15666 
6 28  18 1710 2866 4018 5170 6334 7498 8490 9174 9834 10502 11162 11826 12490 13154 13818 14486 15078 15290 
6 29  18 1726 2890 4050 5210 6378 7550 8522 9202 9858 10526 11186 11842 12506 13166 13822 14478 14986 15154 
6 30  19 1702 2830 3962 5090 6222 7362 8394 9074 9714 10362 11006 11654 12298 12938 13590 14230 14870 15234 15350 
6 31  18 1682 2830 3974 5118 6270 7426 8430 9106 9750 10402 11050 11702 12346 12990 13642 14282 14898 15194 
7 0  16 1630 2726 3830 4934 6058 7186 8266 9114 9946 10790 11646 12498 13362 14226 15094 15962 
7 1  15 1714 2890 4066 5250 6446 7638 8678 9562 10442 11338 12238 13146 14054 14970 15886 
7 2  15 1722 2914 4102 5294 6498 7698 8710 9598 10482 11382 12290 13202 14118 15034 15954 
7 3  15 1678 2806 3938 5066 6202 7338 8410 9262 10102 10946 11802 12670 13530 14402 15274 
7 4  15 1738 2874 4010 5150 6290 7434 8502 9354 10198 11050 11910 12778 13646 14522 15394 
7 5  15 1702 2874 4046 5218 6390 7566 8598 9466 10334 11210 12094 12982 13878 14778 15682 
7 6  15 1746 2946 4142 5338 6538 7738 8750 9638 10522 11418 12322 13226 14142 15054 15970 
7 7  15 1714 2862 4010 5158 6306 7454 8518 9370 10218 11078 11938 12814 13686 14566 15446 
7 8  15 1718 2862 4002 5142 6286 7430 8490 9338 10182 11034 11890 12754 13622 14490 15362 
7 9  15 1738 2902 4066 5230 6390 7554 8602 9462 10318 11186 12058 12930 13810 14702 15586 
7 10  15 1658 2798 3942 5086 6226 7366 8426 9278 10122 10966 11822 12690 13550 14418 15290 
7 11  15 1726 2910 4094 5278 6462 7646 8674 9550 10422 11302 12194 13086 13982 14882 15782 
