0 0 810.139 878.266
0 1 827.065 887.761
0 2 817.186 875.618
0 3 807.549 861.413
0 4 839.482 910.556
0 5 833.654 911.42
0 6 819.484 873.627
0 7 808.398 879.997
0 8 809.001 878.698
0 9 805.039 861.36
0 10 843.834 903.096
0 11 826.661 900.033
0 12 845.441 925.011
0 13 813.607 881.684
0 14 829.387 885.117
0 15 823.804 899.311
0 16 822.051 883.883
0 17 811.127 889.655
0 18 818.5 900.165
0 19 826.71 897.696
0 20 830.33 894.529
0 21 821.717 898.661
0 22 826.317 896.351
0 23 820.115 879.283
0 24 825.494 903.74
0 25 838.42 908.151
0 26 825.43 898.398
0 27 815.252 876.942
0 28 839.125 900.414
0 29 839.698 905.354
0 30 827.325 922.942
0 31 817.949 885.495
0 32 813.606 870.423
0 33 818.98 886.592
0 34 809.245 884.251
0 35 831.985 898.376
0 36 821.238 885.8
0 37 826.746 882.529
0 38 820.422 896.47
0 39 843.115 897.529
0 40 813.912 917.159
0 41 822.428 884.126
0 42 826.633 886.911
0 43 843.658 924.267
0 44 828.531 927.243
0 45 821.676 895.022
0 46 836.879 893.334
0 47 823.619 918.147
