6 0  16 1178 2134 3090 4046 5006 5966 6918 7874 8818 9750 10682 11618 12550 13478 14410 15342 
6 1  18 1114 1998 2886 3770 4658 5550 6438 7322 8202 9070 9930 10794 11662 12522 13386 14250 15114 15970 
6 2  17 1154 2066 2978 3890 4802 5714 6634 7546 8454 9342 10226 11118 12006 12894 13782 14674 15562 
6 3  17 1182 2090 2998 3906 4810 5718 6634 7542 8442 9326 10210 11094 11978 12862 13746 14634 15514 
6 4  16 1254 2238 3218 4202 5182 6166 7150 8134 9098 10054 11010 11966 12926 13886 14842 15798 
6 5  17 1162 2094 3022 3954 4886 5818 6750 7686 8606 9518 10422 11330 12238 13146 14054 14962 15866 
6 6  16 1226 2202 3182 4162 5142 6122 7106 8086 9046 10002 10958 11914 12874 13830 14786 15746 
6 7  16 1202 2162 3118 4074 5030 5990 6954 7910 8854 9790 10726 11666 12606 13538 14474 15410 
6 8  17 1174 2106 3042 3974 4910 5838 6778 7722 8646 9566 10474 11390 12306 13222 14138 15050 15962 
6 9  16 1194 2170 3142 4114 5090 6062 7046 8026 8986 9938 10894 11850 12810 13762 14718 15674 
6 10  16 1218 2194 3174 4150 5130 6106 7094 8082 9050 10010 10970 11934 12894 13858 14822 15782 
6 11  17 1114 2010 2906 3798 4690 5590 6498 7402 8302 9186 10070 10950 11834 12722 13606 14490 15370 
6 12  17 1186 2106 3030 3950 4866 5786 6730 7666 8590 9506 10414 11326 12238 13150 14062 14974 15882 
6 13  18 1106 1978 2846 3718 4590 5458 6346 7234 8118 8990 9850 10718 11590 12454 13318 14186 15046 15910 
6 14  16 1214 2142 3074 4006 4934 5862 6814 7770 8710 9642 10570 11494 12426 13354 14282 15210 
6 15  16 1174 2106 3038 3970 4898 5826 6782 7746 8686 9618 10550 11482 12414 13346 14278 15210 
6 16  16 1426 2362 3294 4230 5170 6106 7046 7982 8898 9810 10722 11638 12554 13462 14378 15286 
6 17  17 1406 2318 3226 4134 5046 5958 6870 7782 8682 9570 10454 11342 12230 13118 14002 14886 15770 
6 18  17 1346 2230 3122 4010 4902 5790 6686 7574 8458 9326 10190 11058 11922 12798 13658 14526 15394 
6 19  16 1402 2342 3286 4230 5174 6118 7062 8010 8934 9854 10774 11698 12622 13538 14462 15382 
6 20  16 1442 2414 3382 4354 5322 6294 7266 8238 9186 10134 11078 12026 12974 13918 14866 15810 
6 21  17 1346 2218 3094 3974 4846 5726 6610 7490 8358 9218 10074 10926 11786 12642 13498 14354 15206 
6 22  16 1422 2362 3298 4238 5182 6122 7066 8010 8938 9854 10774 11698 12618 13538 14454 15374 
6 23  17 1402 2318 3230 4146 5066 5982 6902 7822 8730 9630 10526 11422 12322 13218 14114 15010 15902 
6 24  18 1370 2226 3086 3950 4810 5670 6542 7410 8270 9118 9958 10802 11654 12498 13342 14186 15026 15870 
6 25  16 1446 2378 3306 4238 5170 6102 7042 7982 8902 9814 10730 11650 12566 13478 14394 15310 
6 26  16 1438 2382 3330 4274 5222 6166 7126 8082 9018 9946 10878 11810 12746 13674 14610 15538 
6 27  16 1462 2434 3406 4378 5346 6318 7302 8282 9246 10202 11158 12122 13082 14038 14994 15954 
6 28  16 1410 2346 3282 4218 5154 6090 7042 7990 8922 9850 10774 11710 12638 13566 14490 15418 
6 29  16 1426 2382 3338 4286 5242 6194 7166 8138 9094 10038 10982 11930 12882 13830 14778 15730 
6 30  16 1406 2322 3238 4158 5078 5994 6934 7874 8798 9714 10634 11554 12466 13386 14298 15218 
6 31  16 1418 2366 3314 4258 5206 6154 7126 8094 9046 9990 10938 11886 12834 13782 14730 15682 
7 0  16 1222 2170 3122 4070 5018 5970 6918 7866 8802 9726 10650 11578 12498 13422 14346 15266 
7 1  16 1274 2250 3226 4202 5182 6158 7138 8114 9074 10022 10970 11922 12874 13826 14778 15734 
7 2  17 1182 2110 3042 3970 4902 5830 6762 7698 8618 9526 10426 11334 12242 13146 14050 14954 15858 
7 3  15 1266 2262 3258 4258 5258 6258 7258 8254 9234 10206 11178 12150 13126 14098 15066 
7 4  17 1158 2090 3026 3962 4898 5830 6770 7706 8634 9546 10454 11366 12278 13186 14098 15006 15914 
7 5  16 1246 2206 3166 4130 5090 6054 7018 7982 8926 9866 10802 11746 12686 13626 14562 15498 
7 6  16 1214 2194 3174 4154 5138 6118 7102 8086 9050 10006 10962 11922 12878 13838 14794 15750 
7 7  17 1154 2086 3018 3950 4878 5810 6750 7686 8614 9526 10434 11346 12258 13170 14078 14990 15898 
7 8  17 1222 2142 3066 3990 4914 5834 6762 7694 8614 9522 10422 11326 12230 13134 14034 14938 15842 
7 9  16 1262 2246 3230 4214 5198 6182 7178 8166 9138 10102 11070 12030 12998 13962 14930 15894 
7 10  16 1190 2134 3074 4014 4958 5898 6850 7802 8738 9666 10598 11522 12450 13374 14302 15230 
7 11  16 1218 2154 3090 4026 4962 5898 6846 7794 8730 9658 10582 11506 12430 13354 14282 15206 
7 12  17 1170 2098 3022 3950 4874 5802 6746 7694 8622 9546 10458 11378 12298 13214 14134 15050 15966 
7 13  16 1210 2162 3118 4070 5022 5974 6946 7918 8870 9818 10762 11718 12666 13610 14554 15502 
7 14  16 1206 2150 3094 4038 4982 5926 6890 7858 8810 9750 10694 11642 12586 13522 14466 15406 
7 15  16 1214 2178 3142 4102 5062 6026 7014 8002 8974 9934 10898 11862 12826 13790 14754 15722 
7 16  15 1250 2250 3254 4254 5258 6258 7266 8270 9254 10234 11214 12198 13182 14162 15142 
7 17  16 1166 2114 3066 4018 4970 5918 6874 7830 8774 9706 10642 11574 12506 13438 14370 15302 
7 18  16 1162 2106 3054 3998 4942 5882 6834 7786 8726 9654 10582 11506 12434 13358 14286 15214 
7 19  17 1130 2050 2970 3894 4810 5734 6666 7594 8510 9414 10318 11222 12126 13026 13934 14834 15738 
7 20  16 1142 2102 3062 4026 4986 5946 6914 7882 8838 9782 10722 11674 12618 13558 14502 15446 
7 21  16 1170 2134 3102 4066 5034 6002 6978 7950 8906 9854 10802 11758 12710 13658 14610 15554 
7 22  17 1154 2070 2990 3910 4826 5746 6678 7606 8522 9426 10330 11230 12138 13038 13942 14846 15746 
7 23  16 1190 2154 3118 4082 5050 6014 6990 7966 8922 9870 10822 11778 12730 13674 14630 15578 
7 24  17 1134 2042 2950 3858 4766 5678 6602 7522 8430 9330 10226 11122 12018 12910 13810 14710 15602 
7 25  17 1110 2042 2974 3902 4830 5762 6714 7654 8586 9506 10418 11338 12254 13174 14090 15006 15922 
7 26  16 1154 2114 3070 4026 4986 5942 6910 7882 8834 9778 10726 11674 12622 13566 14510 15454 
7 27  17 1142 2070 3002 3934 4862 5798 6746 7694 8626 9550 10466 11386 12310 13230 14154 15070 15990 
7 28  16 1202 2150 3098 4046 4994 5946 6906 7866 8814 9754 10694 11634 12574 13506 14446 15382 
7 29  16 1174 2126 3082 4038 4994 5950 6918 7890 8842 9790 10734 11686 12634 13578 14522 15470 
7 30  17 1158 2070 2978 3890 4794 5710 6642 7570 8486 9390 10294 11198 12102 13002 13906 14810 15714 
7 31  16 1150 2082 3018 3950 4882 5818 6770 7726 8666 9594 10518 11442 12370 13298 14226 15150 
