6 0  20 1418 2614 3806 5006 6202 7398 8410 9158 9842 10522 11190 11858 12534 13202 13874 14550 15226 15766 15874 15926 
6 1  19 1338 2446 3550 4658 5766 6874 7962 8762 9430 10066 10694 11322 11946 12578 13206 13834 14466 15114 15802 
6 2  19 1386 2526 3666 4802 5946 7090 8162 8934 9606 10250 10886 11530 12166 12806 13446 14086 14730 15378 15942 
6 3  20 1414 2546 3682 4810 5950 7086 8158 8922 9586 10222 10854 11490 12126 12762 13394 14030 14674 15342 15902 15998 
6 4  17 1502 2726 3954 5182 6414 7642 8622 9378 10098 10802 11506 12214 12914 13626 14334 15038 15746 
6 5  20 1398 2562 3722 4886 6054 7218 8254 8998 9666 10322 10966 11622 12266 12914 13570 14222 14870 15566 15918 15998 
6 6  17 1474 2690 3918 5142 6370 7598 8562 9318 10030 10730 11434 12138 12838 13542 14250 14954 15662 
6 7  18 1446 2642 3830 5030 6230 7434 8438 9182 9874 10562 11238 11914 12602 13282 13962 14654 15338 15934 
6 8  18 1410 2574 3738 4906 6078 7250 8286 9042 9730 10414 11090 11770 12446 13126 13802 14490 15174 15854 
6 9  17 1442 2658 3870 5086 6310 7538 8514 9262 9970 10674 11374 12070 12774 13474 14178 14882 15590 
6 10  17 1466 2682 3906 5126 6354 7590 8554 9306 10022 10726 11434 12142 12846 13562 14270 14982 15698 
6 11  18 1342 2458 3574 4686 5810 6950 8030 8810 9494 10146 10798 11454 12110 12766 13426 14082 14746 15434 
6 12  18 1418 2570 3718 4862 6026 7194 8250 9018 9714 10398 11078 11758 12438 13122 13802 14494 15182 15858 
6 13  20 1326 2414 3498 4582 5674 6786 7878 8678 9342 9982 10618 11250 11882 12522 13158 13794 14438 15074 15514 15602 
6 14  18 1446 2610 3766 4926 6102 7294 8326 9090 9790 10486 11174 11858 12554 13246 13938 14638 15334 15954 
6 15  18 1410 2570 3730 4890 6066 7262 8298 9062 9754 10442 11122 11802 12490 13174 13858 14550 15242 15886 
6 16  20 1654 2822 3998 5170 6342 7514 8506 9238 9906 10570 11222 11870 12526 13178 13830 14490 15146 15754 15918 15974 
6 17  20 1634 2766 3910 5050 6190 7326 8350 9090 9750 10394 11034 11674 12310 12946 13590 14226 14866 15490 15698 15758 
6 18  19 1566 2678 3786 4902 6018 7130 8198 8966 9622 10250 10870 11494 12114 12738 13358 13978 14610 15242 15886 
6 19  18 1634 2810 3994 5174 6358 7538 8538 9278 9958 10638 11302 11970 12646 13310 13982 14658 15330 15954 
6 20  18 1682 2898 4110 5322 6542 7754 8694 9430 10130 10818 11510 12198 12886 13578 14266 14958 15646 15950 
6 21  20 1566 2658 3750 4846 5950 7050 8106 8870 9534 10166 10794 11426 12054 12686 13318 13946 14586 15250 15878 15998 
6 22  17 1654 2826 4006 5182 6358 7542 8578 9334 10022 10698 11374 12046 12718 13390 14062 14742 15422 
6 23  18 1630 2770 3918 5062 6214 7362 8378 9122 9798 10470 11134 11798 12466 13130 13794 14466 15138 15790 
6 24  19 1582 2658 3730 4806 5890 6978 8034 8798 9454 10082 10702 11326 11946 12578 13198 13826 14454 15090 15806 
6 25  19 1674 2838 4002 5170 6338 7514 8490 9222 9902 10578 11246 11918 12594 13266 13938 14618 15294 15854 15966 
6 26  18 1670 2854 4034 5218 6410 7606 8570 9306 10002 10690 11374 12058 12746 13430 14122 14810 15506 15998 
6 27  17 1698 2914 4130 5342 6566 7786 8714 9454 10166 10870 11578 12278 12982 13690 14402 15110 15798 
6 28  17 1642 2810 3982 5150 6326 7518 8518 9262 9950 10638 11318 11994 12682 13362 14046 14734 15426 
