6	0	3.8136	15.694	257.62	298.38	376.13	3.54477	15.7008	254.975	298.99	376.786
6	1	3.8136	15.694	257.62	298.38	376.13	3.50997	15.4542	253.929	293.703	369.401
6	2	3.8136	15.694	257.62	298.38	376.13	3.37375	15.6407	254.507	296.682	373.028
6	3	3.8136	15.694	257.62	298.38	376.13	3.40869	15.7668	250.833	290.962	365.843
6	4	3.8136	15.694	257.62	298.38	376.13	3.26825	15.4763	253.187	293.267	369.417
6	5	3.8136	15.694	257.62	298.38	376.13	3.2242	15.6874	255.345	294.605	371.898
6	6	3.8136	15.694	257.62	298.38	376.13	3.37943	15.667	256.844	297.358	375.13
6	7	3.8136	15.694	257.62	298.38	376.13	3.37876	15.7006	257.044	297.589	374.046
6	8	3.8136	15.694	257.62	298.38	376.13	3.38625	15.6098	255.855	296.051	372.523
6	9	3.8136	15.694	257.62	298.38	376.13	3.56713	15.6647	256.278	296.967	373.749
6	10	3.8136	15.694	257.62	298.38	376.13	3.37091	15.7505	256.003	297.891	375.328
6	11	3.8136	15.694	257.62	298.38	376.13	3.35155	15.6553	253.134	294.295	371.079
6	12	3.8136	15.694	257.62	298.38	376.13	3.47087	15.5223	250.72	290.485	365.993
6	13	3.8136	15.694	257.62	298.38	376.13	3.37333	15.5619	252.519	292.799	369.266
6	14	3.8136	15.694	257.62	298.38	376.13	3.56381	15.6728	254.958	295.32	372.426
6	15	3.8136	15.694	257.62	298.38	376.13	3.68079	15.6006	255.339	295.661	372.756
6	16	3.8136	15.694	257.62	298.38	376.13	3.57933	15.7269	258.543	299.383	377.808
6	17	3.8136	15.694	257.62	298.38	376.13	3.36887	15.8764	261.701	303.419	385.262
6	18	3.8136	15.694	257.62	298.38	376.13	3.5075	15.5384	252.813	293.038	369.114
6	19	3.8136	15.694	257.62	298.38	376.13	3.52764	15.6836	256.416	297.353	374.793
6	20	3.8136	15.694	257.62	298.38	376.13	3.43701	15.664	258.496	298.81	377.245
6	21	3.8136	15.694	257.62	298.38	376.13	3.32009	15.615	254.454	295.021	371.544
6	22	3.8136	15.694	257.62	298.38	376.13	3.507	15.8555	259.158	299.937	379.119
6	23	3.8136	15.694	257.62	298.38	376.13	3.43376	15.8017	259.436	300.758	379.31
6	24	3.8136	15.694	257.62	298.38	376.13	3.40076	15.7038	256.335	297.274	374.782
6	25	3.8136	15.694	257.62	298.38	376.13	3.28662	15.6065	253.863	295.57	373.122
6	26	3.8136	15.694	257.62	298.38	376.13	3.32318	15.5322	254.961	294.07	371.049
6	27	3.8136	15.694	257.62	298.38	376.13	3.24185	15.8108	259.458	298.102	376.394
6	28	3.8136	15.694	257.62	298.38	376.13	3.48838	15.5664	250.851	293.389	369.906
6	29	3.8136	15.694	257.62	298.38	376.13	3.3525	15.7903	259.032	299.265	378.664
6	30	3.8136	15.694	257.62	298.38	376.13	3.32683	15.7115	260.05	295.016	371.625
6	31	3.8136	15.694	174.08	298.38	376.13	3.56764	15.7246	176.42	301.582	382.667
7	0	3.8136	15.694	147.19	241.94	274.83	3.04806	15.67	148.679	244.869	277.745
7	1	3.8136	15.694	147.19	241.94	274.83	3.34546	15.4644	146.939	241.065	274.411
7	2	3.8136	15.694	141.74	241.94	274.83	3.48234	15.477	144.583	239.89	273.356
7	3	3.8136	15.694	141.74	241.94	274.83	3.29559	15.5656	143.17	241.587	274.845
7	4	3.8136	15.694	141.74	174.08	298.39	3.35051	15.5482	140.626	171.842	294.155
7	5	3.8136	15.694	141.74	174.08	298.39	3.42547	15.608	139.653	171.813	293.361
7	6	3.8136	15.694	141.74	174.08	298.39	3.20602	15.8816	142.616	175.627	300.539
7	7	3.8136	15.694	141.74	174.08	298.39	3.14968	15.717	141.682	174.042	297.295
7	8	3.8136	15.694	141.74	174.08	298.39	3.36468	15.5439	138.876	170.53	291.733
7	9	3.8136	15.694	141.74	174.08	298.39	3.29992	15.6278	139.185	171.314	292.777
7	10	3.8136	15.694	141.74	174.08	298.39	3.3646	15.6765	141.342	172.532	295.451
7	11	3.8136	15.694	141.74	174.08	298.39	3.37403	15.5209	138.678	170.983	290.538
7	12	3.8136	15.694	141.74	174.08	298.39	3.05186	15.6135	138.661	170.377	291.303
7	13	3.8136	15.694	141.74	174.08	298.39	3.05466	15.6861	140.999	173.229	296.224
7	14	3.8136	15.694	141.74	174.08	298.39	3.27157	15.412	138.213	170.462	290.537
7	15	3.8136	15.694	141.74	174.08	298.39	3.15522	15.473	141.582	173.487	297.5
7	16	3.8136	15.694	141.74	174.08	298.39	3.37161	15.6815	140.414	174.418	297.477
7	17	3.8136	15.694	141.74	174.08	298.39	3.23443	15.5339	139.197	172.449	293.967
7	18	3.8136	15.694	141.74	174.08	298.39	3.46229	15.4749	139.959	171.198	292.947
7	19	3.8136	15.694	141.74	174.08	298.39	3.42811	15.5862	141.666	172.824	296.77
7	20	3.8136	15.694	141.74	174.08	298.39	3.26951	15.7927	142.497	175.878	300.692
7	21	3.8136	15.694	141.74	174.08	298.39	3.4772	15.8203	141.689	174.481	299.657
7	22	3.8136	15.694	141.74	174.08	298.39	3.36956	15.5446	140.823	164.586	296.434
7	23	3.8136	15.694	141.74	174.08	298.39	3.53206	15.8055	142.994	175.868	301.557
7	24	3.8136	15.694	141.74	174.08	298.39	3.37198	15.7338	143.97	175.747	301.959
7	25	3.8136	15.694	141.74	174.08	298.39	3.40018	15.3375	140	172.348	294.639
7	26	3.8136	15.694	141.74	174.08	298.39	3.43638	15.5723	144.413	172.959	296.932
